has a map,has travel stuff with him,
has a backpack,has travel stuff with him,
wears a hat,has travel stuff with him,
has a camera,has travel stuff with him,
has travel stuff with him,tourist,or
looks around a lot,excited,
smiles,excited,
excited,tourist,or
likes Trump,republican tourist,
tourist,republican tourist,and
tourist,person,and
republican tourist,person,and
likes Biden,democratic,
respects equality,democratic,
democratic,democratic tourist,and
democratic tourist,person,and
fast walk,athletic,
practices sports,athletic,
tall person,athletic,
athletic,athletic tourist,and
athletic tourist,person,and
has expensive clothes,rich tourist,
rich tourist,person,and
has simple clothes,modest tourist,
modest tourist,person,and
person,,or